"","fighter","winner","match_id","weight_class","date","opponent"
"1","Adrian Yanez",1,1,"Bantamweight","2021-03-20","Gustavo Lopez"
"2","Trevin Giles",1,2,"Middleweight","2021-03-20","Roman Dolidze"
"3","Tai Tuivasa",1,3,"Heavyweight","2021-03-20","Harry Hunsucker"
"4","Cheyanne Buys",0,4,"WomenStrawweight","2021-03-20","Montserrat Conejo"
"5","Marion Reneau",0,5,"WomenBantamweight","2021-03-20","Macy Chiasson"
"6","Leonardo Santos",0,6,"Lightweight","2021-03-20","Grant Dawson"
"7","Song Kenan",0,7,"Welterweight","2021-03-20","Max Griffin"
"8","Derek Brunson",1,8,"Middleweight","2021-03-20","Kevin Holland"
"9","Montel Jackson",1,9,"Bantamweight","2021-03-20","Jesse Strader"
"10","Bruno Silva",1,10,"Flyweight","2021-03-20","JP Buys"
"11","Manel Kape",0,11,"Flyweight","2021-03-13","Matheus Nicolau"
"12","Misha Cirkunov",0,12,"LightHeavyweight","2021-03-13","Ryan Spann"
"13","Leon Edwards",0.5,13,"Welterweight","2021-03-13","Belal Muhammad"
"14","Charles Jourdain",1,14,"Featherweight","2021-03-13","Marcelo Rojo"
"15","Eryk Anders",0.5,15,"Middleweight","2021-03-13","Darren Stewart"
"16","Angela Hill",1,16,"WomenStrawweight","2021-03-13","Ashley Yoder"
"17","Jonathan Martinez",0,17,"Bantamweight","2021-03-13","Davey Grant"
"18","Dan Ige",1,18,"Featherweight","2021-03-13","Gavin Tucker"
"19","Nasrat Haqparast",1,19,"Lightweight","2021-03-13","Rafa Garcia"
"20","Cortney Casey",0,20,"WomenFlyweight","2021-03-13","JJ Aldrich"
"21","Matthew Semelsberger",1,21,"Welterweight","2021-03-13","Jason Witt"
"22","Rani Yahya",1,22,"Bantamweight","2021-03-13","Ray Rodriguez"
"23","Gloria de Paula",0,23,"WomenStrawweight","2021-03-13","Jinh Yu Frey"
"24","Dominick Cruz",1,24,"Bantamweight","2021-03-06","Casey Kenney"
"25","Song Yadong",0,25,"Bantamweight","2021-03-06","Kyler Phillips"
"26","Petr Yan",0,26,"Bantamweight","2021-03-06","Aljamain Sterling"
"27","Jan Blachowicz",1,27,"LightHeavyweight","2021-03-06","Israel Adesanya"
"28","Thiago Santos",0,28,"LightHeavyweight","2021-03-06","Aleksandar Rakic"
"29","Joseph Benavidez",0,29,"Flyweight","2021-03-06","Askar Askarov"
"30","Amanda Nunes",1,30,"WomenFeatherweight","2021-03-06","Megan Anderson"
"31","Islam Makhachev",1,31,"Lightweight","2021-03-06","Drew Dober"
"32","Tim Elliott",1,32,"Flyweight","2021-03-06","Jordan Espinosa"
"33","Livinha Souza",0,33,"WomenStrawweight","2021-03-06","Amanda Lemos"
"34","Rogerio Bontorin",0,34,"Flyweight","2021-03-06","Kai Kara-France"
"35","Uros Medic",1,35,"Lightweight","2021-03-06","Aalon Cruz"
"36","Kennedy Nzechukwu",1,36,"LightHeavyweight","2021-03-06","Carlos Ulberg"
"37","Sean Brady",1,37,"Welterweight","2021-03-06","Jake Matthews"
"38","Mario Bautista",0,38,"Bantamweight","2021-03-06","Trevin Jones"
"39","Jairzinho Rozenstruik",0,39,"Heavyweight","2021-02-27","Ciryl Gane"
"40","Montana De La Rosa",0.5,40,"WomenFlyweight","2021-02-27","Mayra Bueno Silva"
"41","Vince Cachero",0,41,"Bantamweight","2021-02-27","Ronnie Lawrence"
"42","Alexander Hernandez",0,42,"Lightweight","2021-02-27","Thiago Moises"
"43","Pedro Munhoz",1,43,"Bantamweight","2021-02-27","Jimmie Rivera"
"44","Alex Caceres",1,44,"Featherweight","2021-02-27","Kevin Croom"
"45","Alexis Davis",1,45,"WomenBantamweight","2021-02-27","Sabina Mazo"
"46","Nikita Krylov",0,46,"LightHeavyweight","2021-02-27","Magomed Ankalaev"
"47","Dustin Jacoby",1,47,"LightHeavyweight","2021-02-27","Maxim Grishin"
"48","Aleksei Oleinik",0,48,"Heavyweight","2021-02-20","Chris Daukaus"
"49","Charles Rosa",0,49,"Featherweight","2021-02-20","Darrick Minner"
"50","Phil Hawes",1,50,"Middleweight","2021-02-20","Nassourdine Imavov"
"51","Curtis Blaydes",0,51,"Heavyweight","2021-02-20","Derrick Lewis"
"52","Eddie Wineland",0,52,"Bantamweight","2021-02-20","John Castaneda"
"53","Andrei Arlovski",0,53,"Heavyweight","2021-02-20","Tom Aspinall"
"54","Jared Gordon",1,54,"Featherweight","2021-02-20","Danny Chavez"
"55","Ketlen Vieira",0,55,"WomenBantamweight","2021-02-20","Yana Kunitskaya"
"56","Aiemann Zahabi",1,56,"Bantamweight","2021-02-20","Drako Rodriguez"
"57","Serghei Spivac",1,57,"Heavyweight","2021-02-20","Jared Vanderaa"
"58","Nate Landwehr",0,58,"Featherweight","2021-02-20","Julian Erosa"
"59","Shana Dobson",0,59,"WomenFlyweight","2021-02-20","Casey O'Neill"
"60","Maycee Barber",0,60,"WomenFlyweight","2021-02-13","Alexa Grasso"
"61","Belal Muhammad",1,61,"Welterweight","2021-02-13","Dhiego Lima"
"62","Maki Pitolo",0,62,"Middleweight","2021-02-13","Julian Marquez"
"63","Kamaru Usman",1,63,"Welterweight","2021-02-13","Gilbert Burns"
"64","Ricky Simon",1,64,"Featherweight","2021-02-13","Brian Kelleher"
"65","Kelvin Gastelum",1,65,"Middleweight","2021-02-13","Ian Heinisch"
"66","Polyana Viana",1,66,"WomenStrawweight","2021-02-13","Mallory Martin"
"67","Rodolfo Vieira",0,67,"Middleweight","2021-02-13","Anthony Hernandez"
"68","Gabe Green",1,68,"Welterweight","2021-02-13","Philip Rowe"
"69","Andre Ewell",0,69,"CatchWeight","2021-02-13","Chris Gutierrez"
"70","Alexandre Pantoja",1,70,"Flyweight","2021-02-06","Manel Kape"
"71","Karol Rosa",1,71,"WomenBantamweight","2021-02-06","Joselyne Edwards"
"72","Devonte Smith",1,72,"CatchWeight","2021-02-06","Justin Jaynes"
"73","Michael Johnson",0,73,"Lightweight","2021-02-06","Clay Guida"
"74","Alistair Overeem",0,74,"Heavyweight","2021-02-06","Alexander Volkov"
"75","Diego Ferreira",0,75,"Lightweight","2021-02-06","Beneil Dariush"
"76","Cory Sandhagen",1,76,"Bantamweight","2021-02-06","Frankie Edgar"
"77","Mike Rodriguez",0,77,"LightHeavyweight","2021-02-06","Danilo Marques"
"78","Ode Osbourne",1,78,"Featherweight","2021-02-06","Jerome Rivera"
"79","SeungWoo Choi",1,79,"Featherweight","2021-02-06","Youssef Zalal"
"80","Molly McCann",0,80,"WomenFlyweight","2021-02-06","Lara Procopio"
"81","Timur Valiev",1,81,"Featherweight","2021-02-06","Martin Day"
"82","Dan Hooker",0,82,"Lightweight","2021-01-23","Michael Chandler"
"83","Andrew Sanchez",0,83,"Middleweight","2021-01-23","Makhmud Muradov"
"84","Julianna Pena",1,84,"WomenBantamweight","2021-01-23","Sara McMann"
"85","Jessica Eye",0,85,"WomenFlyweight","2021-01-23","Joanne Calderwood"
"86","Dustin Poirier",1,86,"Lightweight","2021-01-23","Conor McGregor"
"87","Brad Tavares",1,87,"Middleweight","2021-01-23","Antonio Carlos Junior"
"88","Arman Tsarukyan",1,88,"Lightweight","2021-01-23","Matt Frevola"
"89","Marina Rodriguez",1,89,"WomenStrawweight","2021-01-23","Amanda Ribas"
"90","Amir Albazi",1,90,"Flyweight","2021-01-23","Zhalgas Zhumagulov"
"91","Khalil Rountree Jr.",0,91,"LightHeavyweight","2021-01-23","Marcin Prachnio"
"92","Nik Lentz",0,92,"CatchWeight","2021-01-23","Movsar Evloev"
"93","Ricky Simon",1,93,"Bantamweight","2021-01-20","Gaetano Pirrello"
"94","Omari Akhmedov",1,94,"Middleweight","2021-01-20","Tom Breese"
"95","Warlley Alves",1,95,"Welterweight","2021-01-20","Mounir Lazzez"
"96","Matt Schnell",1,96,"Flyweight","2021-01-20","Tyson Nam"
"97","Roxanne Modafferi",0,97,"WomenFlyweight","2021-01-20","Viviane Araujo"
"98","Ike Villanueva",1,98,"LightHeavyweight","2021-01-20","Vinicius Moreira"
"99","Michael Chiesa",1,99,"Welterweight","2021-01-20","Neil Magny"
"100","Lerone Murphy",1,100,"Featherweight","2021-01-20","Douglas Silva de Andrade"
"101","Su Mudaerji",1,101,"Flyweight","2021-01-20","Zarrukh Adashev"
"102","Francisco Figueiredo",1,102,"Flyweight","2021-01-20","Jerome Rivera"
"103","Mike Davis",1,103,"Lightweight","2021-01-20","Mason Jones"
"104","Dalcha Lungiambula",1,104,"Middleweight","2021-01-20","Markus Perez"
"105","Umar Nurmagomedov",1,105,"Bantamweight","2021-01-20","Sergey Morozov"
"106","Victoria Leonardo",0,106,"WomenFlyweight","2021-01-20","Manon Fiorot"
"107","Wu Yanan",0,107,"WomenBantamweight","2021-01-16","Joselyne Edwards"
"108","Punahele Soriano",1,108,"Middleweight","2021-01-16","Dusko Todorovic"
"109","Carlos Felipe",1,109,"Heavyweight","2021-01-16","Justin Tafa"
"110","Carlos Condit",1,110,"Welterweight","2021-01-16","Matt Brown"
"111","David Zawada",0,111,"Welterweight","2021-01-16","Ramazan Emeev"
"112","Joaquin Buckley",0,112,"Middleweight","2021-01-16","Alessio Di Chirico"
"113","Santiago Ponzinibbio",0,113,"Welterweight","2021-01-16","Li Jingliang"
"114","Max Holloway",1,114,"Featherweight","2021-01-16","Calvin Kattar"
"115","Sarah Moras",0,115,"WomenBantamweight","2021-01-16","Vanessa Melo"
"116","Jacob Kilburn",0,116,"Featherweight","2021-01-16","Austin Lingo"
"117","Marlon Moraes",0,117,"Bantamweight","2020-12-19","Rob Font"
"118","Sijara Eubanks",0,118,"WomenBantamweight","2020-12-19","Pannie Kianzad"
"119","Deron Winn",1,119,"CatchWeight","2020-12-19","Antonio Arroyo"
"120","Stephen Thompson",1,120,"Welterweight","2020-12-19","Geoff Neal"
"121","Jose Aldo",1,121,"Bantamweight","2020-12-19","Marlon Vera"
"122","Anthony Pettis",1,122,"Welterweight","2020-12-19","Alex Morono"
"123","Marcin Tybura",1,123,"Heavyweight","2020-12-19","Greg Hardy"
"124","Michel Pereira",1,124,"Welterweight","2020-12-19","Khaos Williams"
"125","Gillian Robertson",0,125,"WomenFlyweight","2020-12-19","Taila Santos"
"126","Jimmy Flick",1,126,"Flyweight","2020-12-19","Cody Durden"
"127","Tafon Nchukwi",1,127,"Middleweight","2020-12-19","Jamie Pickett"
"128","Christos Giagos",1,128,"CatchWeight","2020-12-19","Carlton Minus"
"129","Renato Moicano",0,129,"Lightweight","2020-12-12","Rafael Fiziev"
"130","Kevin Holland",1,130,"Middleweight","2020-12-12","Jacare Souza"
"131","Mackenzie Dern",1,131,"WomenStrawweight","2020-12-12","Virna Jandiroba"
"132","Tony Ferguson",0,132,"Lightweight","2020-12-12","Charles Oliveira"
"133","Deiveson Figueiredo",0.5,133,"Flyweight","2020-12-12","Brandon Moreno"
"134","Junior Dos Santos",0,134,"Heavyweight","2020-12-12","Ciryl Gane"
"135","Gavin Tucker",1,135,"Featherweight","2020-12-12","Billy Quarantillo"
"136","Cub Swanson",1,136,"Featherweight","2020-12-12","Daniel Pineda"
"137","Tecia Torres",1,137,"WomenStrawweight","2020-12-12","Sam Hughes"
"138","Chase Hooper",1,138,"Featherweight","2020-12-12","Peter Barrett"
"139","Gabriel Benitez",1,139,"Lightweight","2020-12-05","Justin Jaynes"
"140","Roman Dolidze",1,140,"LightHeavyweight","2020-12-05","John Allan"
"141","Ilia Topuria",1,141,"Featherweight","2020-12-05","Damon Jackson"
"142","Louis Smolka",1,142,"Bantamweight","2020-12-05","Jose Quinonez"
"143","Gian Villante",0,143,"Heavyweight","2020-12-05","Jake Collier"
"144","Ovince Saint Preux",0,144,"LightHeavyweight","2020-12-05","Jamahal Hill"
"145","Matt Wiman",0,145,"Lightweight","2020-12-05","Jordan Leavitt"
"146","Jack Hermansson",0,146,"Middleweight","2020-12-05","Marvin Vettori"
"147","Ashlee Evans-Smith",0,147,"WomenBantamweight","2020-11-28","Norma Dumont"
"148","Jonathan Pearce",1,148,"Featherweight","2020-11-28","Kai Kamaka"
"149","Miguel Baeza",1,149,"Welterweight","2020-11-28","Takashi Sato"
"150","Josh Parisian",0,150,"Heavyweight","2020-11-28","Parker Porter"
"151","Anthony Smith",1,151,"LightHeavyweight","2020-11-28","Devin Clark"
"152","Spike Carlyle",0,152,"Featherweight","2020-11-28","Bill Algeo"
"153","Martin Day",0,153,"Bantamweight","2020-11-28","Anderson Dos Santos"
"154","Luke Sanders",0,154,"CatchWeight","2020-11-28","Nate Maness"
"155","Gina Mazany",1,155,"WomenFlyweight","2020-11-28","Rachael Ostovich"
"156","Su Mudaerji",1,156,"Flyweight","2020-11-28","Malcolm Gordon"
"157","Brandon Moreno",1,157,"Flyweight","2020-11-21","Brandon Royval"
"158","Joaquin Buckley",1,158,"Middleweight","2020-11-21","Jordan Wright"
"159","Katlyn Chookagian",1,159,"WomenFlyweight","2020-11-21","Cynthia Calvillo"
"160","Antonina Shevchenko",1,160,"WomenFlyweight","2020-11-21","Ariane Lipski"
"161","Valentina Shevchenko",1,161,"WomenFlyweight","2020-11-21","Jennifer Maia"
"162","Deiveson Figueiredo",1,162,"Flyweight","2020-11-21","Alex Perez"
"163","Mauricio Rua",0,163,"LightHeavyweight","2020-11-21","Paul Craig"
"164","Mike Perry",0,164,"Welterweight","2020-11-21","Tim Means"
"165","Alan Jouban",1,165,"Welterweight","2020-11-21","Jared Gooden"
"166","Daniel Rodriguez",0,166,"Welterweight","2020-11-21","Nicolas Dalby"
"167","Louis Cosce",0,167,"Welterweight","2020-11-21","Sasha Palatnikov"
"168","Kyle Daukaus",1,168,"Middleweight","2020-11-21","Dustin Stoltzfus"
"169","Ashley Yoder",1,169,"WomenStrawweight","2020-11-14","Miranda Granger"
"170","Kay Hansen",0,170,"WomenStrawweight","2020-11-14","Cory McKenna"
"171","Randa Markos",0,171,"WomenStrawweight","2020-11-14","Kanako Murata"
"172","Brendan Allen",0,172,"CatchWeight","2020-11-14","Sean Strickland"
"173","Geraldo de Freitas",0,173,"Bantamweight","2020-11-14","Tony Gravely"
"174","Alex Morono",1,174,"Welterweight","2020-11-14","Rhys McKee"
"175","Abdul Razak Alhassan",0,175,"Welterweight","2020-11-14","Khaos Williams"
"176","Paul Felder",0,176,"Lightweight","2020-11-14","Rafael Dos Anjos"
"177","Don'Tale Mayes",1,177,"Heavyweight","2020-11-14","Roque Martinez"
"178","Thiago Santos",0,178,"LightHeavyweight","2020-11-07","Glover Teixeira"
"179","Andrei Arlovski",1,179,"Heavyweight","2020-11-07","Tanner Boser"
"180","Alexandr Romanov",1,180,"Heavyweight","2020-11-07","Marcos Rogerio de Lima"
"181","Claudia Gadelha",0,181,"WomenStrawweight","2020-11-07","Yan Xiaonan"
"182","Darren Elkins",1,182,"Featherweight","2020-11-07","Eduardo Garagorri"
"183","Giga Chikadze",1,183,"Featherweight","2020-11-07","Jamey Simmons"
"184","Raoni Barcelos",1,184,"Bantamweight","2020-11-07","Khalid Taha"
"185","Trevin Giles",1,185,"Middleweight","2020-11-07","Bevon Lewis"
"186","Gustavo Lopez",1,186,"Bantamweight","2020-11-07","Anthony Birchak"
"187","Max Griffin",1,187,"Welterweight","2020-11-07","Ramiz Brahimaj"
"188","Chris Gruetzemacher",0,188,"Lightweight","2020-10-31","Alexander Hernandez"
"189","Adrian Yanez",1,189,"Bantamweight","2020-10-31","Victor Rodriguez"
"190","Maurice Greene",0,190,"Heavyweight","2020-10-31","Greg Hardy"
"191","Sean Strickland",1,191,"Middleweight","2020-10-31","Jack Marshman"
"192","Bobby Green",0,192,"Lightweight","2020-10-31","Thiago Moises"
"193","Kevin Holland",1,193,"Middleweight","2020-10-31","Charlie Ontiveros"
"194","Uriah Hall",1,194,"Middleweight","2020-10-31","Anderson Silva"
"195","Bryce Mitchell",1,195,"Featherweight","2020-10-31","Andre Fili"
"196","Dustin Jacoby",1,196,"LightHeavyweight","2020-10-31","Justin Ledet"
"197","Cole Williams",0,197,"Welterweight","2020-10-31","Jason Witt"
"198","Miles Johns",1,198,"Bantamweight","2020-10-31","Kevin Natividad"
"199","Jacob Malkoun",0,199,"Middleweight","2020-10-24","Phil Hawes"
"200","Alexander Volkov",1,200,"Heavyweight","2020-10-24","Walt Harris"
"201","Magomed Ankalaev",1,201,"LightHeavyweight","2020-10-24","Ion Cutelaba"
"202","Stefan Struve",0,202,"Heavyweight","2020-10-24","Tai Tuivasa"
"203","Robert Whittaker",1,203,"Middleweight","2020-10-24","Jared Cannonier"
"204","Lauren Murphy",1,204,"WomenFlyweight","2020-10-24","Liliya Shakirova"
"205","Khabib Nurmagomedov",1,205,"Lightweight","2020-10-24","Justin Gaethje"
"206","Nathaniel Wood",0,206,"CatchWeight","2020-10-24","Casey Kenney"
"207","Joel Alvarez",1,207,"Lightweight","2020-10-24","Alexander Yakovlev"
"208","Liana Jojua",0,208,"WomenFlyweight","2020-10-24","Miranda Maverick"
"209","Da-Un Jung",0.5,209,"LightHeavyweight","2020-10-24","Sam Alvey"
"210","Alex Oliveira",0,210,"Welterweight","2020-10-24","Shavkat Rakhmonov"
"211","Katlyn Chookagian",0,211,"WomenFlyweight","2020-10-17","Jessica Andrade"
"212","Thomas Almeida",0,212,"Featherweight","2020-10-17","Jonathan Martinez"
"213","Jimmy Crute",1,213,"LightHeavyweight","2020-10-17","Modestas Bukauskas"
"214","Mateusz Gamrot",0,214,"Lightweight","2020-10-17","Guram Kutateladze"
"215","Junyong Park",1,215,"Middleweight","2020-10-17","John Phillips"
"216","Gillian Robertson",1,216,"WomenFlyweight","2020-10-17","Poliana Botelho"
"217","Claudio Silva",0,217,"Welterweight","2020-10-17","James Krause"
"218","Brian Ortega",1,218,"Featherweight","2020-10-17","Chan Sung Jung"
"219","Gadzhimurad Antigulov",0,219,"LightHeavyweight","2020-10-17","Maxim Grishin"
"220","Said Nurmagomedov",1,220,"Bantamweight","2020-10-17","Mark Striegl"
"221","Jamie Mullarkey",0,221,"Lightweight","2020-10-17","Fares Ziam"
"222","Marlon Moraes",0,222,"Bantamweight","2020-10-10","Cory Sandhagen"
"223","Tom Breese",1,223,"Middleweight","2020-10-10","KB Bhullar"
"224","Chris Daukaus",1,224,"Heavyweight","2020-10-10","Rodrigo Nascimento"
"225","Markus Perez",0,225,"Middleweight","2020-10-10","Dricus Du Plessis"
"226","Ben Rothwell",0,226,"Heavyweight","2020-10-10","Marcin Tybura"
"227","Youssef Zalal",0,227,"Featherweight","2020-10-10","Ilia Topuria"
"228","Tom Aspinall",1,228,"Heavyweight","2020-10-10","Alan Baudot"
"229","Edson Barboza",1,229,"Featherweight","2020-10-10","Makwan Amirkhani"
"230","Impa Kasanganay",0,230,"Middleweight","2020-10-10","Joaquin Buckley"
"231","Giga Chikadze",1,231,"Featherweight","2020-10-10","Omar Morales"
"232","Ali AlQaisi",0,232,"Bantamweight","2020-10-10","Tony Kelley"
"233","Tracy Cortez",1,233,"WomenBantamweight","2020-10-10","Stephanie Egger"
"234","Bruno Silva",0,234,"Flyweight","2020-10-10","Tagir Ulanbekov"
"235","Carlos Condit",1,235,"Welterweight","2020-10-03","Court McGee"
"236","Dequan Townsend",0,236,"Middleweight","2020-10-03","Dusko Todorovic"
"237","Charles Jourdain",0.5,237,"Featherweight","2020-10-03","Josh Culibao"
"238","Germaine de Randamie",1,238,"WomenBantamweight","2020-10-03","Julianna Pena"
"239","Kyler Phillips",1,239,"Bantamweight","2020-10-03","Cameron Else"
"240","Holly Holm",1,240,"WomenBantamweight","2020-10-03","Irene Aldana"
"241","Yorgan De Castro",0,241,"Heavyweight","2020-10-03","Carlos Felipe"
"242","Jordan Williams",0,242,"Middleweight","2020-10-03","Nassourdine Imavov"
"243","Loma Lookboonmee",1,243,"WomenStrawweight","2020-10-03","Jinh Yu Frey"
"244","Casey Kenney",1,244,"Bantamweight","2020-10-03","Heili Alateng"
"245","Luigi Vendramini",1,245,"Lightweight","2020-10-03","Jessin Ayari"
"246","Ketlen Vieira",1,246,"WomenBantamweight","2020-09-26","Sijara Eubanks"
"247","Israel Adesanya",1,247,"Middleweight","2020-09-26","Paulo Costa"
"248","Kai Kara-France",0,248,"Flyweight","2020-09-26","Brandon Royval"
"249","Shane Young",0,249,"Featherweight","2020-09-26","Ludovit Klein"
"250","Diego Sanchez",0,250,"Welterweight","2020-09-26","Jake Matthews"
"251","Brad Riddell",1,251,"Lightweight","2020-09-26","Alex Da Silva"
"252","Dominick Reyes",0,252,"LightHeavyweight","2020-09-26","Jan Blachowicz"
"253","Hakeem Dawodu",1,253,"Featherweight","2020-09-26","Zubaira Tukhugov"
"254","William Knight",1,254,"LightHeavyweight","2020-09-26","Aleksa Camur"
"255","Khadis Ibragimov",0,255,"LightHeavyweight","2020-09-26","Danilo Marques"
"256","Juan Espino",1,256,"Heavyweight","2020-09-26","Jeff Hughes"
"257","Johnny Walker",1,257,"LightHeavyweight","2020-09-19","Ryan Spann"
"258","Mirsad Bektic",0,258,"Featherweight","2020-09-19","Damon Jackson"
"259","Colby Covington",1,259,"Welterweight","2020-09-19","Tyron Woodley"
"260","Mackenzie Dern",1,260,"WomenStrawweight","2020-09-19","Randa Markos"
"261","Jordan Espinosa",0,261,"Flyweight","2020-09-19","David Dvorak"
"262","Kevin Holland",1,262,"Middleweight","2020-09-19","Darren Stewart"
"263","Khamzat Chimaev",1,263,"Middleweight","2020-09-19","Gerald Meerschaert"
"264","Donald Cerrone",0.5,264,"Welterweight","2020-09-19","Niko Price"
"265","Jessica-Rose Clark",1,265,"WomenBantamweight","2020-09-19","Sarah Alpar"
"266","Darrick Minner",1,266,"Featherweight","2020-09-19","TJ Laramie"
"267","Journey Newson",0,267,"Bantamweight","2020-09-19","Randy Costa"
"268","Mayra Bueno Silva",1,268,"WomenFlyweight","2020-09-19","Mara Romero Borella"
"269","Andre Ewell",1,269,"Bantamweight","2020-09-19","Irwin Rivera"
"270","Tyson Nam",1,270,"Bantamweight","2020-09-19","Jerome Rivera"
"271","Bobby Green",1,271,"Lightweight","2020-09-12","Alan Patrick"
"272","Roosevelt Roberts",0.5,272,"Lightweight","2020-09-12","Kevin Croom"
"273","Billy Quarantillo",1,273,"Featherweight","2020-09-12","Kyle Nelson"
"274","Julia Avila",0,274,"WomenBantamweight","2020-09-12","Sijara Eubanks"
"275","Michelle Waterson",1,275,"WomenStrawweight","2020-09-12","Angela Hill"
"276","Roxanne Modafferi",1,276,"WomenFlyweight","2020-09-12","Andrea Lee"
"277","Ed Herman",1,277,"LightHeavyweight","2020-09-12","Mike Rodriguez"
"278","Ottman Azaitar",1,278,"Lightweight","2020-09-12","Khama Worthy"
"279","Alexandr Romanov",1,279,"Heavyweight","2020-09-12","Roque Martinez"
"280","Brok Weaver",0,280,"CatchWeight","2020-09-12","Jalin Turner"
"281","Bryan Barberena",1,281,"Welterweight","2020-09-12","Anthony Ivy"
"282","Sabina Mazo",1,282,"WomenFlyweight","2020-09-12","Justine Kish"
"283","Ovince Saint Preux",1,283,"LightHeavyweight","2020-09-05","Alonzo Menifield"
"284","Brian Kelleher",1,284,"Featherweight","2020-09-05","Ray Rodriguez"
"285","Michel Pereira",1,285,"Welterweight","2020-09-05","Zelim Imadaev"
"286","Viviane Araujo",1,286,"WomenFlyweight","2020-09-05","Montana De La Rosa"
"287","Andre Muniz",1,287,"Middleweight","2020-09-05","Bartosz Fabinski"
"288","Cole Smith",0,288,"Bantamweight","2020-09-05","Hunter Azure"
"289","Alistair Overeem",1,289,"Heavyweight","2020-09-05","Augusto Sakai"
"290","Alessio Di Chirico",0,290,"Middleweight","2020-08-29","Zak Cummings"
"291","Anthony Smith",0,291,"LightHeavyweight","2020-08-29","Aleksandar Rakic"
"292","Ricardo Lamas",1,292,"Featherweight","2020-08-29","Bill Algeo"
"293","Robbie Lawler",0,293,"Welterweight","2020-08-29","Neil Magny"
"294","Ji Yeon Kim",0,294,"WomenFlyweight","2020-08-29","Alexa Grasso"
"295","Alex Caceres",1,295,"Featherweight","2020-08-29","Austin Springer"
"296","Maki Pitolo",0,296,"Middleweight","2020-08-29","Impa Kasanganay"
"297","Sean Brady",1,297,"Welterweight","2020-08-29","Christian Aguilera"
"298","Mallory Martin",1,298,"WomenStrawweight","2020-08-29","Hannah Cifers"
"299","Polyana Viana",1,299,"WomenStrawweight","2020-08-29","Emily Whitmire"
"300","Ike Villanueva",0,300,"LightHeavyweight","2020-08-22","Jordan Wright"
"301","Carlton Minus",0,301,"Welterweight","2020-08-22","Matthew Semelsberger"
"302","Daniel Rodriguez",1,302,"Welterweight","2020-08-22","Dwight Grant"
"303","Marcin Prachnio",0,303,"LightHeavyweight","2020-08-22","Mike Rodriguez"
"304","Amanda Lemos",1,304,"WomenStrawweight","2020-08-22","Inoue Mizuki"
"305","Mariya Agapova",0,305,"WomenFlyweight","2020-08-22","Shana Dobson"
"306","Austin Hubbard",0,306,"Lightweight","2020-08-22","Joe Solecki"
"307","Pedro Munhoz",0,307,"Bantamweight","2020-08-22","Frankie Edgar"
"308","Timur Valiev",0.5,308,"CatchWeight","2020-08-22","Trevin Jones"
"309","Junior Dos Santos",0,309,"Heavyweight","2020-08-15","Jairzinho Rozenstruik"
"310","Herbert Burns",0,310,"Featherweight","2020-08-15","Daniel Pineda"
"311","Felice Herrig",0,311,"WomenStrawweight","2020-08-15","Virna Jandiroba"
"312","Sean O'Malley",0,312,"Bantamweight","2020-08-15","Marlon Vera"
"313","John Dodson",0,313,"Bantamweight","2020-08-15","Merab Dvalishvili"
"314","Stipe Miocic",1,314,"Heavyweight","2020-08-15","Daniel Cormier"
"315","TJ Brown",0,315,"Featherweight","2020-08-15","Danny Chavez"
"316","Jim Miller",0,316,"Lightweight","2020-08-15","Vinc Pichel"
"317","Chris Daukaus",1,317,"Heavyweight","2020-08-15","Parker Porter"
"318","Kai Kamaka",1,318,"Featherweight","2020-08-15","Tony Kelley"
"319","Ashley Yoder",0,319,"WomenStrawweight","2020-08-15","Livinha Souza"
"320","Tim Means",1,320,"Welterweight","2020-08-08","Laureano Staropoli"
"321","Kevin Holland",1,321,"Middleweight","2020-08-08","Joaquin Buckley"
"322","Nasrat Haqparast",1,322,"Lightweight","2020-08-08","Alexander Munoz"
"323","Derrick Lewis",1,323,"Heavyweight","2020-08-08","Aleksei Oleinik"
"324","Yana Kunitskaya",1,324,"WomenBantamweight","2020-08-08","Julija Stoliarenko"
"325","Beneil Dariush",1,325,"Lightweight","2020-08-08","Scott Holtzman"
"326","Maki Pitolo",0,326,"Middleweight","2020-08-08","Darren Stewart"
"327","Omari Akhmedov",0,327,"Middleweight","2020-08-08","Chris Weidman"
"328","Youssef Zalal",1,328,"Featherweight","2020-08-08","Peter Barrett"
"329","Irwin Rivera",1,329,"Bantamweight","2020-08-08","Ali AlQaisi"
"330","Gavin Tucker",1,330,"Featherweight","2020-08-08","Justin Jaynes"
"331","Andrew Sanchez",1,331,"Middleweight","2020-08-08","Wellington Turman"
"332","Joanne Calderwood",0,332,"WomenFlyweight","2020-08-01","Jennifer Maia"
"333","Johnny Munoz",0,333,"Featherweight","2020-08-01","Nate Maness"
"334","Frankie Saenz",0,334,"Bantamweight","2020-08-01","Jonathan Martinez"
"335","Jamall Emmers",1,335,"Featherweight","2020-08-01","Vince Cachero"
"336","Vicente Luque",1,336,"Welterweight","2020-08-01","Randy Brown"
"337","Derek Brunson",1,337,"Middleweight","2020-08-01","Edmen Shahbazyan"
"338","Chris Gutierrez",0.5,338,"Bantamweight","2020-08-01","Cody Durden"
"339","Lando Vannata",0,339,"Lightweight","2020-08-01","Bobby Green"
"340","Alex Oliveira",1,340,"Welterweight","2020-07-25","Peter Sobotta"
"341","Robert Whittaker",1,341,"Middleweight","2020-07-25","Darren Till"
